lyrics
抱著沙發 睡眼昏花 凌亂頭髮 卻渴望像電影主角一樣瀟灑 屋簷角下 排著烏鴉 密密麻麻 被壓抑的情緒不知 如何表達 無論我在這裡在那裡 彷彿失魂的蟲鳴   卻明白此刻應該做些努力 無論我在這裡在那裡 不能彌補的過去 每當想起
想過離開 以這種方式存在 是因為那些旁白 那些姿態 那些傷害 不想離開 當你說還有你在 忽然我開始莫名期待
想過離開 以這種方式存在 是因為那些旁白 那些姿態 那些傷害 不想離開 也許嘗試過被愛 會開始仰望未來 傷疤就丟給回憶吧 放下才得到更好啊 别怕 别怕
想過離開 當陽光敗給陰霾 沒想到你會拚命為我撥開  
夕陽西下 翻著電話 無人撥打 是習慣孤獨的我該得到的吧 獨木橋呀 把誰推下 才算贏家 我無聲的反抗何時能戰勝它 無論我 在這裡 在那裡 彷彿失魂的蟲鳴 卻明白此刻應該做些努力 無論我 在這裡 在那裡 不能彌補的過去 每當想起
曾想過離開 卻又堅持到現在 熬過了 那些旁白 那些姿態 那些傷害 不想離開 當你的笑容綻開 這世界突然填滿 色彩
抱著沙發 睡眼昏花 凌亂頭髮 夕陽西下 接通電話 是你呀
不必用束浪花 掩飾魚群 誇誕的讚美
風和蜜釀的酒 塞滿船艙 自由是結構
而當船員學著 赦免暗礁 我學著拼湊
那艘 新造的船 仍舊是我嗎？
Ahh~ 它沉默不語啊
時間之海 將我淹埋 從降生到殘骸
迎風而來 搖曳或枯萎？將命運之歌深埋 遺留潮汐的鐘擺
更換靈魂再裝載 散落成 纖維
